dataset,target_family,target_acc,source_acc,acc_gap,llm,source_guided_best,non_source_best,advantage,result,target_id,source_id,source_guided_method,non_source_method
mnist,alt,0.1325,0.9947,0.8622000000000001,ds13b,0.9845,0.9634,0.021100000000000008,win,a1cfe17bbcace464cee20186c817ddfc,15a960267cf6cda43b8dc078096a25a0,hp_transfer,hp_default
mnist,alt,0.1325,0.9947,0.8622000000000001,olympic7b,0.9899,0.9632,0.026700000000000057,win,a1cfe17bbcace464cee20186c817ddfc,15a960267cf6cda43b8dc078096a25a0,hp_transfer,hp_default
mnist,alt,0.1325,0.9947,0.8622000000000001,qwen25coder7b,0.9909,0.957,0.03390000000000004,win,a1cfe17bbcace464cee20186c817ddfc,15a960267cf6cda43b8dc078096a25a0,hp_transfer,hp_default
mnist,alt,0.1325,0.9947,0.8622000000000001,ds67b,0.9341,0.9414,-0.007299999999999973,loss,a1cfe17bbcace464cee20186c817ddfc,15a960267cf6cda43b8dc078096a25a0,hp_transfer,baseline_edit
svhn,dpn68,0.1754,0.9412,0.7658,ds67b,0.7862246465888137,0.7605255070682237,0.025699139520589998,win,48ebb84d913cc8ffad0b9379f25006bc,d7e91737df547831f65a082b391c28d1,analogical_edit,hp_default
svhn,dpn68,0.1754,0.9412,0.7658,ds13b,0.7424708051628764,0.743200676090965,-0.0007298709280885163,loss,48ebb84d913cc8ffad0b9379f25006bc,d7e91737df547831f65a082b391c28d1,analogical_edit,baseline_edit
svhn,dpn68,0.1754,0.9412,0.7658,qwen25coder7b,0.7591041794714198,0.7501152427781193,0.008988936693300587,win,48ebb84d913cc8ffad0b9379f25006bc,d7e91737df547831f65a082b391c28d1,hp_transfer,baseline_edit
svhn,dpn68,0.1754,0.9412,0.7658,olympic7b,0.7365165949600492,0.7945221266133989,-0.05800553165334976,loss,48ebb84d913cc8ffad0b9379f25006bc,d7e91737df547831f65a082b391c28d1,analogical_edit,baseline_edit
svhn,alexnet,0.1959,0.9524,0.7565000000000001,olympic7b,0.19645052243392747,0.20928088506453596,-0.012830362630608494,loss,82f102e1bd4884ac574a1543d9eac6fb,9da54aec32cd2aebd2374d086521e20f,hp_transfer,hp_default
svhn,alexnet,0.1959,0.9524,0.7565000000000001,qwen25coder7b,0.21024124154886295,0.1958743085433313,0.014366933005531657,win,82f102e1bd4884ac574a1543d9eac6fb,9da54aec32cd2aebd2374d086521e20f,analogical_edit,hp_default
