experiment,dataset,target_family,llm,source_rule,group,reported_accuracy,n_per_arm,target_id,source_id
cifar10_ds67b_archbest,cifar-10,alt_nn1,ds67b,archbest,source_guided_best,0.5049,32,ed1246fb7fb1bb50c9127eebcb6e05d2,ed44f284382e3593f982eeaa71996065
cifar10_ds67b_archbest,cifar-10,alt_nn1,ds67b,archbest,non_source_best,0.2398,32,ed1246fb7fb1bb50c9127eebcb6e05d2,ed44f284382e3593f982eeaa71996065
cifar10_ds67b_highsource,cifar-10,alt_nn1,ds67b,highsource,source_guided_best,0.4213,32,ed1246fb7fb1bb50c9127eebcb6e05d2,f6923a5f94145abd0a362581ae0012e9
cifar10_ds67b_highsource,cifar-10,alt_nn1,ds67b,highsource,non_source_best,0.2354,32,ed1246fb7fb1bb50c9127eebcb6e05d2,f6923a5f94145abd0a362581ae0012e9
cifar10_qwen25coder7b_archbest,cifar-10,alt_nn1,qwen25coder7b,archbest,source_guided_best,0.4757,32,ed1246fb7fb1bb50c9127eebcb6e05d2,ed44f284382e3593f982eeaa71996065
cifar10_qwen25coder7b_archbest,cifar-10,alt_nn1,qwen25coder7b,archbest,non_source_best,0.2156,32,ed1246fb7fb1bb50c9127eebcb6e05d2,ed44f284382e3593f982eeaa71996065
cifar10_qwen25coder7b_highsource,cifar-10,alt_nn1,qwen25coder7b,highsource,source_guided_best,0.4814,32,ed1246fb7fb1bb50c9127eebcb6e05d2,f6923a5f94145abd0a362581ae0012e9
cifar10_qwen25coder7b_highsource,cifar-10,alt_nn1,qwen25coder7b,highsource,non_source_best,0.2386,32,ed1246fb7fb1bb50c9127eebcb6e05d2,f6923a5f94145abd0a362581ae0012e9
cifar10_olympic7b_archbest,cifar-10,alt_nn1,olympic7b,archbest,source_guided_best,0.4806,32,ed1246fb7fb1bb50c9127eebcb6e05d2,ed44f284382e3593f982eeaa71996065
cifar10_olympic7b_archbest,cifar-10,alt_nn1,olympic7b,archbest,non_source_best,0.4971,32,ed1246fb7fb1bb50c9127eebcb6e05d2,ed44f284382e3593f982eeaa71996065
cifar10_olympic7b_highsource,cifar-10,alt_nn1,olympic7b,highsource,source_guided_best,0.4033,32,ed1246fb7fb1bb50c9127eebcb6e05d2,f6923a5f94145abd0a362581ae0012e9
cifar10_olympic7b_highsource,cifar-10,alt_nn1,olympic7b,highsource,non_source_best,0.4876,32,ed1246fb7fb1bb50c9127eebcb6e05d2,f6923a5f94145abd0a362581ae0012e9
svhn_alexnet_ds67b,svhn,alexnet,ds67b,strong,source_guided_best,0.7880,32,82f102e1bd4884ac574a1543d9eac6fb,9da54aec32cd2aebd2374d086521e20f
svhn_alexnet_ds67b,svhn,alexnet,ds67b,strong,non_source_best,0.1959,32,82f102e1bd4884ac574a1543d9eac6fb,9da54aec32cd2aebd2374d086521e20f
svhn_alexnet_qwen25coder7b,svhn,alexnet,qwen25coder7b,strong,source_guided_best,0.1959,32,82f102e1bd4884ac574a1543d9eac6fb,9da54aec32cd2aebd2374d086521e20f
svhn_alexnet_qwen25coder7b,svhn,alexnet,qwen25coder7b,strong,non_source_best,0.1959,32,82f102e1bd4884ac574a1543d9eac6fb,9da54aec32cd2aebd2374d086521e20f
svhn_alexnet_olympic7b,svhn,alexnet,olympic7b,strong,source_guided_best,0.1965,32,82f102e1bd4884ac574a1543d9eac6fb,9da54aec32cd2aebd2374d086521e20f
svhn_alexnet_olympic7b,svhn,alexnet,olympic7b,strong,non_source_best,0.1959,32,82f102e1bd4884ac574a1543d9eac6fb,9da54aec32cd2aebd2374d086521e20f
imagenette_alexnet_ds13b,imagenette,alexnet,ds13b,strong,source_guided_best,0.3534,8,bb88d97f5db9a331051f1695a5d81d1d,61897b06c8dabb270284572c01d2b229
imagenette_alexnet_ds67b,imagenette,alexnet,ds67b,strong,source_guided_best,0.2492,8,bb88d97f5db9a331051f1695a5d81d1d,61897b06c8dabb270284572c01d2b229
imagenette_alexnet_olympic7b,imagenette,alexnet,olympic7b,strong,source_guided_best,0.3656,8,bb88d97f5db9a331051f1695a5d81d1d,61897b06c8dabb270284572c01d2b229
hp_copy_cifar10_archbest,cifar-10,alt_nn1,none,archbest,hp_copy,0.4267,1,ed1246fb7fb1bb50c9127eebcb6e05d2,ed44f284382e3593f982eeaa71996065
hp_copy_cifar10_highsource,cifar-10,alt_nn1,none,highsource,hp_copy,0.3506,1,ed1246fb7fb1bb50c9127eebcb6e05d2,f6923a5f94145abd0a362581ae0012e9
hp_copy_svhn_alexnet,svhn,alexnet,none,strong,hp_copy,0.1959,1,82f102e1bd4884ac574a1543d9eac6fb,9da54aec32cd2aebd2374d086521e20f
hp_copy_imagenette_alexnet,imagenette,alexnet,none,strong,hp_copy,0.2892,1,bb88d97f5db9a331051f1695a5d81d1d,61897b06c8dabb270284572c01d2b229
